Date,Time,Line to Neutral Voltage
28/08/2023,06:06:38 pm,255.63
28/08/2023,06:07:04 pm,256.54
28/08/2023,06:07:34 pm,256.37
28/08/2023,06:08:04 pm,255.84
28/08/2023,06:08:34 pm,256.78
28/08/2023,06:09:04 pm,256.64
28/08/2023,06:09:34 pm,255.52
28/08/2023,06:10:04 pm,254.16
28/08/2023,06:10:34 pm,254.88
28/08/2023,06:11:04 pm,254.56
28/08/2023,06:11:34 pm,254.88
28/08/2023,06:12:04 pm,257.23
28/08/2023,06:12:34 pm,256.61
28/08/2023,06:13:04 pm,256.86
28/08/2023,06:13:34 pm,257.09
28/08/2023,06:14:04 pm,255.52
28/08/2023,06:14:34 pm,256.35
28/08/2023,06:15:04 pm,258
28/08/2023,06:15:34 pm,257.58
28/08/2023,06:16:04 pm,257.4
28/08/2023,06:16:34 pm,257.06
28/08/2023,06:17:04 pm,255.13
28/08/2023,06:17:34 pm,256.71
28/08/2023,06:18:04 pm,257.95
28/08/2023,06:18:34 pm,256.5
28/08/2023,06:19:04 pm,256.03
28/08/2023,06:19:34 pm,256.47
28/08/2023,06:20:04 pm,256.86
28/08/2023,06:20:34 pm,256.01
28/08/2023,06:21:04 pm,256.41
28/08/2023,06:21:34 pm,256.32
28/08/2023,06:22:04 pm,257.7
28/08/2023,06:22:34 pm,255
28/08/2023,06:23:04 pm,253.27
28/08/2023,06:23:34 pm,253.75
28/08/2023,06:24:04 pm,253.84
28/08/2023,06:24:34 pm,253.66
28/08/2023,06:25:04 pm,253.59
28/08/2023,06:25:34 pm,253.05
28/08/2023,06:26:04 pm,253.3
28/08/2023,06:26:34 pm,252.95
28/08/2023,06:27:04 pm,252.84
28/08/2023,06:27:34 pm,253.04
28/08/2023,06:28:04 pm,255.3
28/08/2023,06:28:34 pm,253.88
28/08/2023,06:29:04 pm,252.59
28/08/2023,06:29:34 pm,252.76
28/08/2023,06:30:04 pm,253.11
28/08/2023,06:30:34 pm,253.89
28/08/2023,06:31:04 pm,254.99
28/08/2023,06:31:34 pm,254.33
28/08/2023,06:32:04 pm,252.78
28/08/2023,06:32:34 pm,251.17
28/08/2023,06:33:04 pm,255.58
28/08/2023,06:33:34 pm,255.5
28/08/2023,06:34:04 pm,255.07
28/08/2023,06:34:34 pm,257.02
28/08/2023,06:35:04 pm,254.71
28/08/2023,06:35:34 pm,252.17
28/08/2023,06:36:04 pm,251.8
28/08/2023,06:36:34 pm,252.34
28/08/2023,06:37:43 pm,252.41
28/08/2023,06:38:06 pm,257.17
28/08/2023,06:38:34 pm,256.38
28/08/2023,06:39:04 pm,254.15
28/08/2023,06:39:34 pm,254.37
28/08/2023,06:40:04 pm,253.78
28/08/2023,06:40:34 pm,253.42
28/08/2023,06:41:04 pm,255.1
28/08/2023,06:41:34 pm,254.48
28/08/2023,06:42:04 pm,255.08
28/08/2023,06:42:34 pm,254.76
28/08/2023,06:43:04 pm,254.49
28/08/2023,06:43:34 pm,254.93
28/08/2023,06:44:04 pm,255.93
28/08/2023,06:44:34 pm,256.13
28/08/2023,06:45:04 pm,254.02
28/08/2023,06:45:34 pm,255.91
28/08/2023,06:46:04 pm,255.07
28/08/2023,06:46:34 pm,255.96
28/08/2023,06:47:04 pm,255.36
28/08/2023,06:47:34 pm,254.97
28/08/2023,06:48:04 pm,255.21
28/08/2023,06:48:34 pm,255.26
28/08/2023,06:49:04 pm,255.43
28/08/2023,06:49:34 pm,255.06
28/08/2023,06:50:04 pm,255.36
28/08/2023,06:50:34 pm,254.99
28/08/2023,06:51:04 pm,255.13
28/08/2023,06:51:34 pm,255.71
28/08/2023,06:52:04 pm,255.01
28/08/2023,06:52:34 pm,254.79
